duration,enum,ignore,ignore_2,person_id,wereda,treatmentcontrol,age,ketena,relationship,education,partner_education,norms_1_treatment,norms_2_treatment,femaletrait_treatment,femaletrait_treatment_recode_1,femaletrait_treatment_recode_2,femaletrait_treatment_recode_3,femaletrait_treatment_recode_mean,ideal_employee_treatment,ideal_employee_treatment_1,ideal_employee_treatment_2,ideal_employee_treatment_3,ideal_employee_treatment_4,ideal_employee_treatment_5,ideal_employee_treatment_6,ideal_employee_treatment_98,employed_treatment,job_treatment,previous_job_treatment,previous_job_treatment_id,job_id_treatment_total,partner_employed_treatment,partner_job_treatment,partner_job_treatment_id,coworker_classmate_treatment,previous_coworker_classmate_treatment,coworker_classmate_treatment_total,supervisor_treatment,previous_supervisor_treatment,supervisor_treatment_total,values_1,values_2,values_3,values_4,attitudes_grt_1,attitudes_grt_4,attitudes_grt_3,gender_att_exp_1,attitudes_grt_2,gender_att_exp_2,attitudes_force_1,attitudes_force_2,attitudes_force_3,attitudes_force_4,ideal_employee,ideal_employee_1,ideal_employee_2,ideal_employee_3,ideal_employee_4,ideal_employee_5,ideal_employee_6,ideal_employee_98,norms_1,norms_2,femaletrait,femaletrait_recode_1,femaletrait_recode_2,femaletrait_recode_3,femaletrait_recode_3_mean,employed,job,job_id,previous_job,previous_job_id,job_id_total,partner_employed,partner_job,partner_job_id,coworker_classmate,previous_coworker_classmate,coworker_classmate_total,supervisor,previous_supervisor,supervisor_total,norms_1_com,norms_2_com,femaletrait_recode_com,ideal_employee_com,employed_com,job_id_com,partner_employed_com,partner_job_id_com,supervisor_com,coworker_classmate_com,military,living_situation,chores,ses,ses_1,ses_2,ses_3,ses_4,ses_5,ses_6,ses_98
2091,2,1,0,11811950,1,0.294132277,32,6,1,2,3,-1,0,98,,,,,2 4 6,0,1,0,1,0,1,0,1,Transportation,,,8,1,Retail trade,7,3,,3,0,,0,4,4,4,4,0,1,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,,2 4 6,1,8,1,7,0,3,1,,1,3,0,0,1,0,0,0,0
2274,2,1,0,11812436,1,0.689872648,39,7,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,4,0,0,-1,,1,,4,3,3,4,1 2 6,1,1,0,0,0,1,0,-1,-1,"Obedient, personable, trustworthy, quick to action",0,0,0,0,1,Clergy,19,,,19,0,,,1,,1,0,,0,-1,-1,0,1 2 6,1,19,0,,0,1,1,,2,3,0,0,1,0,0,0,0
2330,2,1,0,11810002,1,0.267882938,67,1,3,2,,0,-1,"Serves customers well, quick to action, serve elders first/well, personable",0,1,0,0.333333333,2 4 6,0,1,0,1,0,1,0,0,,Construction,6,6,,,,,2,2,,0,0,4,1,2,2,0,0,0,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0.333333333,2 4 6,0,6,,,0,2,1,1,,3,0,0,1,0,0,0,0
1990,2,1,0,11811395,1,0.01561681,42,4,1,3,97,-1,-1,"Positivity, kind character",0,0,,0,2 5 6,0,1,0,0,1,1,0,1,Guard,,,14.1,1,Retail trade (food),7.11,1,,1,0,,0,4,2,2,2,-1,1,0,,1,,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0,2 5 6,1,14.1,1,7.11,0,1,1,,0,3,0,0,1,0,0,0,0
2134,2,1,0,11811499,1,0.092247959,33,7,1,3,2,98,98,"Empathetic, positivity",0,0,,0,4 5 6,0,0,0,1,1,1,0,1,Driver,,,8,0,,,3,,3,0,,0,98,98,3,98,0,1,0,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,0,4 5 6,1,8,0,,0,3,1,,0,6,0,0,0,0,0,1,0
2518,2,1,0,11810185,1,0.035773569,48,3,1,3,3,-1,98,"Trustworthy, humility, respects customers, punctual",0,0,0,0,1 4 6,1,0,0,1,0,1,0,1,Retail trade,,,7,1,Sanitary,14.11,98,,98,2,,2,4,4,3,4,98,0,0,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,98,0,1 4 6,1,7,1,14.11,2,98,1,,3,1 2 3 6,1,1,1,0,0,1,0
951,1,0,0,12010201,1,0.300047951,45,9,1,6,4,-1,1,"Honesty, Hard worker and Disciplined",0,1,1,0.666666667,1 4 6,1,0,0,1,0,1,0,1,Banker,,,11,0,,,2,,2,0,,0,4,4,4,4,0,0,0,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,0.666666667,1 4 6,1,11,0,,0,2,1,,1,2 3 6,0,1,1,0,0,1,0
1374,1,0,0,12010129,1,0.974617604,28,1,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,98,0,-1,,98,,4,4,4,4,2 4 6,0,1,0,1,0,1,0,-1,1,Humble and Obedience,0,0,,0,1,Self employed,7,,,7,0,,,4,,4,0,,0,-1,1,0,2 4 6,1,7,0,,0,4,1,,0,3 6,0,0,1,0,0,1,0
5945,1,0,0,12010117,1,0.39224226,25,9,0,6,,-1,1,Respect co-worker,0,,,0,2 4 6,0,1,0,1,0,1,0,1,Government worker,,,15,,,,2,,2,0,,0,2,1,2,4,-1,0,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,0,2 4 6,1,15,,,0,2,1,1,,3 6,0,0,1,0,0,1,0
2228,2,1,0,11811007,1,0.393679843,36,2,1,2,3,0,1,Fulfill duties appropriately,1,,,1,3 4 6,0,0,1,1,0,1,0,0,,Construction,6,6,1,Domestic worker,20,,4,4,,3,3,4,4,4,4,0,1,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3 4 6,0,6,1,20,3,4,1,,3,3 6,0,0,1,0,0,1,0
1788,2,1,0,11810838,1,0.441717361,22,8,1,2,3,-1,-1,Apologize for their mistakes,0,,,0,3 4 5,0,0,1,1,1,0,0,1,Guard,,,14.1,1,Retail trade (alcoholic beverages),9,2,,2,1,,1,2,1,4,4,1,0,-1,,1,,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0,3 4 5,1,14.1,1,9,1,2,1,,3,1 6,1,0,0,0,0,1,0
1123,2,1,0,11410508,1,0.340962739,37,97,1,2,3,98,0,98,,,,,1 2 3,1,1,1,0,0,0,0,1,Construction,,,6,0,,,2,,2,0,,0,3,4,2,2,0,1,-1,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0,,1 2 3,1,6,0,,0,2,1,,0,1 2 3,1,1,1,0,0,0,0
1097,3,0,1,11911466,1,0.384550493,47,97,1,3,3,-1,-1,"Committed, reliable, execute directions/instructions, obey their bosses",1,0,0,0.333333333,2 3 4,0,1,1,1,0,0,0,1,Driver,,,8,1,Sanitation,14.11,3,,3,0,,0,4,4,4,4,0,0,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0.333333333,2 3 4,1,8,1,14.11,0,3,1,,2,1 2 3 6,1,1,1,0,0,1,0
1172,3,0,1,11810551,1,0.650132831,33,97,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,0,1,-1,,1,,2,2,4,4,1 3 6,1,0,1,0,0,1,0,-1,-1,Amenable,0,,,0,1,Manual Labor,97,,,97,0,,,3,,3,0,,0,-1,-1,0,1 3 6,1,97,0,,0,3,1,,2,3,0,0,1,0,0,0,0
890,3,0,1,11910558,1,0.608352318,23,97,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,-1,1,-1,,0,,4,4,4,4,2 4 5,0,1,0,1,1,0,0,0,0,,,,,,0,,,Day labor,97,97,1,Sanitation,14.11,,1,1,,0,0,0,0,,2 4 5,0,97,1,14.11,0,1,0,,2,3 6,0,0,1,0,0,1,0
2190,2,1,0,11812057,1,0.590391541,34,9,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,4,0,0,0,,0,,3,3,4,4,1 2 3,1,1,1,0,0,0,0,-1,-1,"Conscientious, don’t make decisions based on emotion, ask and learn about anything they don’t understand, don’t give decisions without the requisite knowledge",1,1,0,0.666666667,0,,,Construction,6,6,,,,,2,2,,0,0,-1,-1,0.666666667,1 2 3,0,6,,,0,2,0,1,,1 3,1,0,1,0,0,0,0
2033,2,1,0,11811351,1,0.042587497,35,4,1,3,4,-1,0,"Encourage other employees, facilitate deep relationships and conversations between employees",0,0,,0,2 4 6,0,1,0,1,0,1,0,1,Construction,,,6,1,Manufacturing (books),3,2,,2,3,,3,2,1,4,4,-1,0,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,2 4 6,1,6,1,3,3,2,1,,3,3,0,0,1,0,0,0,0
985,3,0,1,11910030,1,0.995878393,32,97,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,-1,0,0,,0,,4,4,4,4,2 4 6,0,1,0,1,0,1,0,-1,1,"Humility, completes their work properly, obedient, reliable",0,1,0,0.333333333,1,Retail trade,7,,,7,0,,,2,,2,0,,0,-1,1,0.333333333,2 4 6,1,7,0,,0,2,1,,1,3,0,0,1,0,0,0,0
1045,3,0,1,11910853,1,0.616775831,38,97,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,0,1,-1,,0,,4,4,4,4,1 4 6,1,0,0,1,0,1,0,0,0,"Kindness, amenable",0,0,,0,1,Construction,6,,,6,,,,2,,2,0,,0,0,0,0,1 4 6,1,6,,,0,2,1,1,,3,0,0,1,0,0,0,0
5586,1,0,0,12110036,1,0.359221494,59,1,1,2,2,0,0,,,,,,1 4 6,1,0,0,1,0,1,0,0,,Day labor,97,97,0,,,,1,1,,0,0,3,4,98,4,0,0,0,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1 4 6,0,97,0,,0,1,1,,0,,0,0,0,0,0,0,0
1326,3,0,1,12010169,1,0.933349648,48,4,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,0,0,-1,,0,,4,4,4,4,1 2 6,1,1,0,0,0,1,0,0,1,"Hardworking, disciplined, honor schedules",1,1,0,0.666666667,1,Construction,6,,,6,1,Finance office,11,2,,2,0,,0,0,1,0.666666667,1 2 6,1,6,1,11,0,2,1,,1,1 2 3 4 5 6,1,1,1,1,1,1,0
1236,3,0,1,12010004,1,0.652283944,50,97,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,-1,0,-1,,1,,4,4,4,4,1 3 4,1,0,1,1,0,0,0,-1,-1,"Compassion, don’t engage in crime, honest, fulfills duties properly",0,0,1,0.333333333,1,Logistics (Delivery and Driver),8,,,8,0,,,3,,3,3,,3,-1,-1,0.333333333,1 3 4,1,8,0,,3,3,1,,3,6,0,0,0,0,0,1,0
2211,3,0,1,12110210,1,0.95336424,45,9,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,-1,1,0,,1,,4,4,4,4,2 4 5,0,1,0,1,1,0,0,-1,-1,"Maintains an orderly work environment, good customer service",,0,,0,0,,,Construction (Paint) and Guard,6,6,0,,,,2,2,,3,3,-1,-1,0,2 4 5,0,6,0,,3,2,1,,3,1 3,1,0,1,0,0,0,0
1779,3,0,1,12010085,1,0.983794609,37,97,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,-1,1,-1,,1,,4,4,4,4,2 4 6,0,1,0,1,0,1,0,0,0,"Maternal and sisterly traits, completes their work properly, honor schedules, strong-willed (free of addition), agreeable",0,1,,0.5,1,Teacher,16,,,16,1,Health,17,2,,2,0,,0,0,0,0.5,2 4 6,1,16,1,17,0,2,1,3,3,1 3 5,1,0,1,0,1,0,0
1232,2,1,0,11510624,1,0.386399947,28,3,0,3,,-1,-1,98,,,,,1 2 6,1,1,0,0,0,1,0,1,Manual labor,,,97,,,,2,,2,0,,0,2,2,2,2,0,1,0,,0,,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,1 2 6,1,97,,,0,2,0,2,1,1 3 6,1,0,1,0,0,1,0
1141,2,1,0,11510578,1,0.201295711,35,97,2,6,3,98,98,,,,,,1 2 6,1,1,0,0,0,1,0,1,Manual labor,,,97,0,,,1,,1,2,,2,98,2,4,4,0,0,-1,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,,1 2 6,1,97,0,,2,1,1,4,2,1 2 3,1,1,1,0,0,0,0
1141,2,1,0,11510739,1,0.721802796,26,8,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,-1,-1,0,,0,,1,3,4,4,1 2 5,1,1,0,0,1,0,0,0,0,98,,,,,1,Industry (garment),3,,,3,1,Government administration,15,4,,4,3,,3,0,0,,1 2 5,1,3,1,15,3,4,0,,1,1,1,0,0,0,0,0,0
2332,2,1,0,11810291,1,0.830797243,54,6,1,2,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,4,1,4,98,0,98,,0,,4,4,4,4,2 5 6,0,1,0,0,1,1,0,98,98,98,,,,,0,,,Farmer,1,1,0,,,,2,2,,2,2,98,98,,2 5 6,0,1,0,,2,2,1,,1,2 3 4 6,0,1,1,1,0,1,0
2769,2,1,0,11410051,1,0.018677774,48,3,1,3,2,0,98,"Aren’t procrastinators, decisive, trustworthy",1,0,,0.5,2 4 6,0,1,0,1,0,1,0,1,Driver,,,8,0,,,2,,2,0,,0,3,3,4,3,-1,0,-1,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,0.5,2 4 6,1,8,0,,0,2,1,,3,2 3 5 6,0,1,1,0,1,1,0
2173,2,1,0,11410268,1,0.588942308,34,97,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,2,-1,1,-1,,1,,4,4,4,4,1 3 5,1,0,1,0,1,0,0,-1,0,"Completes tasks appropriately, use time appropriately, Serve customers well",1,0,0,0.333333333,1,Industry (garment),3,,,3,1,Accountant and sanitary,14.11,1,,1,2,,2,-1,0,0.333333333,1 3 5,1,3,1,14.11,2,1,0,,1,2 3 4 5 6,0,1,1,1,1,1,0
1971,2,1,0,11510730,1,0.772631201,45,9,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,4,-1,1,-1,,1,,4,4,4,4,1 2 6,1,1,0,0,0,1,0,-1,-1,"Conscientious, facilitate deep relationships between employees, attentive workers",1,0,,0.5,1,Guard,14.1,,,14.1,0,,,2,,2,0,,0,-1,-1,0.5,1 2 6,1,14.1,0,,0,2,1,,3,3 6,0,0,1,0,0,1,0
2524,2,1,0,11410524,1,0.512791714,41,8,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,-1,0,-1,,1,,4,4,4,4,2 5 6,0,1,0,0,1,1,0,0,-1,Take care of loyal customers,0,,,0,1,Construction,6,,,6,0,,,2,,2,0,,0,0,-1,0,2 5 6,1,6,0,,0,2,0,,0,1 2 3 4,1,1,1,1,0,0,0
3145,2,1,0,11410285,1,0.762267137,38,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,0,1,-1,,1,,4,4,4,4,2 3 6,0,1,1,0,0,1,0,0,0,"Compassionate for others, kind, trustful",0,0,0,0,1,"Clergy, manual labor",97,,,97,0,,,2,,2,0,,0,0,0,0,2 3 6,1,97,0,,0,2,0,,3,1 3,1,0,1,0,0,0,0
1614,2,1,0,11812018,1,0.09659328,38,8,1,3,3,-1,-1,"Conscientious, completes tasks appropriately, punctual",1,1,0,0.666666667,1 2 6,1,1,0,0,0,1,0,1,Driver,,,8,0,,,2,,2,2,,2,3,3,4,4,0,0,0,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0.666666667,1 2 6,1,8,0,,2,2,1,,1,1 3 4 6,1,0,1,1,0,1,0
1717,2,1,0,11410170,1,0.844943785,45,2,1,97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,4,98,0,-1,Requires physical strength,1,Men lack patience,4,2,3,4,2 4 6,0,1,0,1,0,1,0,0,-1,98,,,,,1,Farmer,1,,,1,0,,,2,,2,2,,2,0,-1,,2 4 6,1,1,0,,2,2,0,,1,1 2 3 4 6,1,1,1,1,0,1,0
1698,2,1,0,11510456,1,0.732307681,62,8,1,3,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,0,0,-1,Hard work; could be asked to carry slabs two floors up; women should do easier work,1,Not taxing work because it’s mostly about checks and balances; can sit and count the money received,4,4,4,4,2 4 6,0,1,0,1,0,1,0,0,-1,"Humility, serve customers well",0,0,,0,1,Driver,8,,,8,0,,,1,,1,0,,0,0,-1,0,2 4 6,1,8,0,,0,1,0,,1,1 3,1,0,1,0,0,0,0
1990,2,1,0,11510136,1,0.419467583,42,5,1,5,5,-1,-1,"Trustworthy, completes tasks appropriately, punctual, committed",0,1,,0.5,1 2 3,1,1,1,0,0,0,0,1,Construction,,,6,0,,,2,,2,0,,0,2,2,2,2,-1,1,0,,1,Young men often do the running around; but women are capable of working from one spot,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0.5,1 2 3,1,6,0,,0,2,1,,2,2 3 6,0,1,1,0,0,1,0
3869,2,1,0,11811960,1,0.238741634,28,8,2,5,2,-1,-1,"Respect others, serve customers well, quick to action",0,0,1,0.333333333,1 3 6,1,0,1,0,0,1,0,1,Government administration,,,15,0,,,2,,2,0,,0,2,3,2,4,0,1,-1,Requires physical strength which men have a little more of; more efficient to work with them; women may get injured,1,Men by nature lose interest quickly; women are stronger in this sense,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0.333333333,1 3 6,1,15,0,,0,2,1,3,1,3,0,0,1,0,0,0,0
2561,2,1,0,11410053,1,0.153342713,23,98,1,5,98,-1,-1,"Obedient, respect others, fulfill duties appropriately",0,0,1,0.333333333,2 3 6,0,1,1,0,0,1,0,1,Manufacturing,,,3,0,,,3,,3,0,,0,4,1,4,4,1,0,-1,"Men can handle the dynamic nature of the work; unlike women, they can run around for the work",0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0.333333333,2 3 6,1,3,0,,0,3,1,,1,6,0,0,0,0,0,1,0
1913,3,0,1,11911512,1,0.835552594,35,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,-1,0,-1,It’s hard (heavy),1,They are good at running small businesses,4,,,,,0,0,0,0,0,0,0,,,Humility,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0
1027,3,0,1,12210439,1,0.547919528,27,97,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,0,0,0,,1,They can work on small things,4,4,4,4,2 4 6,0,1,0,1,0,1,0,0,-1,"Good customer service, compassion",0,0,,0,1,Construction,6,,,6,0,,,3,,3,0,,0,0,-1,0,2 4 6,1,6,0,,0,3,1,,2,2 3,0,1,1,0,0,0,0
915,3,0,1,12210769,1,0.211303398,48,9,1,3,97,0,0,Good customer service (respectful),0,,,0,2 3 4,0,1,1,1,0,0,0,0,,Good customer service (respectful),,,0,,,,2,2,,3,3,1,4,4,4,0,0,-1,Is strenuous,1,Women can relate to others which makes good sales,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2 3 4,0,,0,,3,2,1,,1,1,1,0,0,0,0,0,0
1451,3,0,1,12210795,1,0.123539646,35,2,1,2,97,0,0,"Reliable, fulfill duties appropriately",0,1,,0.5,2 3 6,0,1,1,0,0,1,0,1,weaving,,,7,0,,,1,,1,2,,2,1,2,4,4,98,0,-1,Men have physical strength,1,They are the ones who do it often so they have the know-how,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5,2 3 6,1,7,0,,2,1,0,,2,1,1,0,0,0,0,0,0
1351,3,0,1,12310020,1,0.191579946,32,97,1,3,3,0,0,"Punctual, committed, hardworking, interest in working",0,1,1,0.666666667,1 2 4,1,1,0,1,0,0,0,1,Electeician,,,4,0,,,5,,5,2,,2,4,3,4,4,0,0,-1,Requires physical strength,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.666666667,1 2 4,1,4,0,,2,5,1,,2,,0,0,0,0,0,0,0
930,3,0,1,12310296,1,0.213703154,28,7,2,3,6,-1,0,Hard working,1,,,1,2 3 5,0,1,1,0,1,0,0,1,construction,,,6,1,Manufacturing,3,2,,2,0,,0,4,4,4,4,0,0,0,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,1,2 3 5,1,6,1,3,0,2,1,3,1,,0,0,0,0,0,0,0
1172,3,0,1,11310066,1,0.287008241,53,2,1,3,97,-1,0,"Personable/welcoming, try to help others, active listeners",0,0,0,0,2 4 5,0,1,0,1,1,0,0,0,,Agriculture,1,1,0,,,,2,2,,2,2,4,2,4,4,0,1,0,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,2 4 5,0,1,0,,2,2,0,,1,1 2 3 4 6,1,1,1,1,0,1,0
1036,3,0,1,11410270,1,0.327678092,46,3,1,2,3,98,,,,,,,2 3 6,0,1,1,0,0,1,0,1,Clergy,,,19,0,,,1,,1,0,,0,4,98,98,4,-1,1,0,,98,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,2 3 6,1,19,0,,0,1,0,,2,1 2 3,1,1,1,0,0,0,0
1130,3,0,1,12010199,1,0.400686849,76,97,1,3,2,98,-1,"Good facilitators, help the troubled, active participants",0,0,,0,6,0,0,0,0,0,1,0,1,Retail trade (clothes),,,7.21,1,Food and restaurant activities,9,4,,4,2,,2,4,4,2,4,0,0,0,,0,,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,-1,0,,1,7.21,1,9,2,4,0,,3,1 3,1,0,1,0,0,0,0
1408,3,0,1,12210121,1,0.537547595,32,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,0,0,-1,Men are stronger,1,Women conventionally do that work,4,4,4,4,1 2 4,1,1,0,1,0,0,0,-1,-1,"Good management, perform quality work, talented",0,1,,0.5,1,Construction,6,,,6,0,,,2,,2,2,,2,-1,-1,0.5,1 2 4,1,6,0,,2,2,1,,1,1 3,1,0,1,0,0,0,0
2362,3,0,1,12210018,1,0.131921565,45,3,3,2,,0,-1,"Provide good customer service, reliable",0,0,,0,2 5 6,0,1,0,0,1,1,0,0,,Construction,6,6,,,,,2,2,,0,0,2,4,1,4,0,-1,-1,"If women were to do it, they would get hurt",1,The work looks better (is more fitting) with women doing it; they are skilled; meanwhile men can do the running around,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,2 5 6,0,6,,,0,2,1,2,0,3,0,0,1,0,0,0,0
1928,3,0,1,11911262,1,0.402586984,42,2,1,5,5,-1,1,"They are humble, go the extra mile at work, are compassionate",0,1,0,0.333333333,1 4 6,1,0,0,1,0,1,0,1,Driver,,,8,0,,,2,,2,0,,0,2,2,2,4,0,0,-1,Requires physical strength; women’s child-bearing and -rearing duties make the work especially difficult,1,Can work with patience and an accommodating nature,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,0.333333333,1 4 6,1,8,0,,0,2,1,,1,1 2 3,1,1,1,0,0,0,0
675,3,0,1,12210249,1,0.75466429,28,5,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,-1,1,-1,,1,,4,4,4,4,4 6,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
1030,3,0,1,11911633,1,0.008387529,50,9,1,3,4,98,98,,,,,,2 3 4,0,1,1,1,0,0,0,1,,,,,0,,,1,,1,2,,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,,2 3 4,1,,0,,2,1,,,,,0,0,0,0,0,0,0
1144,3,0,1,12210260,1,0.563585347,26,97,1,97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,0,0,-1,,1,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
